Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Constance Buckham's Bay Community Centre,2260,913,1,0,131,0,1,106,1,1,0,0,0,36,309,1,3,0,5,2,315,1
West Carleton Secondary School,2289,931,2,1,121,0,0,97,0,0,0,0,0,33,321,0,1,1,4,5,341,4
St. Isidore Catholic School,2579,1025,0,2,118,1,0,108,0,2,0,0,0,43,355,0,1,0,2,4,388,1
Fitzroy Harbour Community Centre,2406,962,1,1,116,0,1,107,0,1,0,0,1,37,353,0,1,0,4,5,332,2
Kinburn Community Centre,2250,894,2,0,114,1,1,86,0,2,1,1,0,36,353,0,1,1,4,3,288,0
Carp Agricultural Hall,3097,1249,0,0,163,0,0,125,1,0,0,0,0,35,504,0,1,1,1,2,416,0
St. Michael Catholic School (Corkery) ,2858,1101,0,1,129,0,3,108,0,1,1,0,0,47,434,1,5,0,5,6,360,0
Constance Buckham's Bay C.C. - Adv 1,0,123,0,0,11,0,2,29,0,0,0,0,0,3,41,0,0,0,0,0,37,0
Kinburn Community Centre - Adv 1,0,131,0,0,12,0,0,26,0,0,0,0,0,3,57,0,0,0,2,0,31,0
St. Michael Catholic School (Corkery) - Adv 1,0,148,0,0,12,0,1,42,0,1,0,0,0,4,54,0,0,0,0,0,34,0
Fitzroy Harbour Community Centre - Adv 2,0,227,0,0,15,0,1,38,0,0,0,0,0,1,96,0,0,0,0,0,76,0
Carp Agricultural Hall - Adv 2,0,398,0,0,16,0,0,37,1,0,0,0,0,19,195,0,0,0,1,1,128,0
Total Polling ,17739,7075,6,5,892,2,6,737,2,7,2,1,1,267,2629,2,13,3,25,27,2440,8
Adv Vote ,35478,1027,0,0,66,0,4,172,1,1,0,0,0,30,443,0,0,0,3,1,306,0
Total,17739,8102,6,5,958,2,10,909,3,8,2,1,1,297,3072,2,13,3,28,28,2746,8
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 5,Reg. Voters,Total Votes,Alexander Aronec,Eli El-Chantiry,James Parsons,,,,,,,,,,,,,,,,,
Constance Buckham's Bay Community Centre,2260,913,67,681,165,,,,,,,,,,,,,,,,,
West Carleton Secondary School,2289,926,83,721,122,,,,,,,,,,,,,,,,,
St. Isidore Catholic School,2579,1015,99,813,103,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre,2406,957,55,780,122,,,,,,,,,,,,,,,,,
Kinburn Community Centre,2250,890,55,720,115,,,,,,,,,,,,,,,,,
Carp Agricultural Hall,3097,1245,104,967,174,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) ,2858,1092,115,790,187,,,,,,,,,,,,,,,,,
Constance Buckham's Bay C.C. - Adv 1,0,123,7,82,34,,,,,,,,,,,,,,,,,
Kinburn Community Centre - Adv 1,0,132,5,103,24,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) - Adv 1,0,148,3,111,34,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre - Adv 2,0,226,7,170,49,,,,,,,,,,,,,,,,,
Carp Agricultural Hall - Adv 2,0,394,22,301,71,,,,,,,,,,,,,,,,,
Total Polling ,17739,7038,578,5472,988,,,,,,,,,,,,,,,,,
Adv Vote ,35478,1023,44,767,212,,,,,,,,,,,,,,,,,
Total,17739,8061,622,6239,1200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 1,Reg. Voters,Total Votes,Todd Johnson,Lynn Scott,,,,,,,,,,,,,,,,,,
Constance Buckham's Bay Community Centre,1737,662,215,447,,,,,,,,,,,,,,,,,,
West Carleton Secondary School,1766,667,185,482,,,,,,,,,,,,,,,,,,
St. Isidore Catholic School,1758,622,165,457,,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre,1900,720,280,440,,,,,,,,,,,,,,,,,,
Kinburn Community Centre,1874,733,342,391,,,,,,,,,,,,,,,,,,
Carp Agricultural Hall,2465,960,332,628,,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) ,1915,682,197,485,,,,,,,,,,,,,,,,,,
Constance Buckham's Bay C.C. - Adv 1,0,96,27,69,,,,,,,,,,,,,,,,,,
Kinburn Community Centre - Adv 1,0,94,39,55,,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) - Adv 1,0,88,26,62,,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre - Adv 2,0,171,76,95,,,,,,,,,,,,,,,,,,
Carp Agricultural Hall - Adv 2,0,306,75,231,,,,,,,,,,,,,,,,,,
Total Polling ,13415,5046,1716,3330,,,,,,,,,,,,,,,,,,
Adv Vote ,26830,755,243,512,,,,,,,,,,,,,,,,,,
Total,13415,5801,1959,3842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Constance Buckham's Bay Community Centre,44,16,3,0,13,,,,,,,,,,,,,,,,,
West Carleton Secondary School,40,10,0,0,10,,,,,,,,,,,,,,,,,
St. Isidore Catholic School,54,20,2,0,18,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre,22,6,3,0,3,,,,,,,,,,,,,,,,,
Kinburn Community Centre,8,4,2,2,0,,,,,,,,,,,,,,,,,
Carp Agricultural Hall,42,14,3,0,11,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) ,33,14,2,1,11,,,,,,,,,,,,,,,,,
Constance Buckham's Bay C.C. - Adv 1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Kinburn Community Centre - Adv 1,0,3,2,1,0,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) - Adv 1,0,2,0,0,2,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Carp Agricultural Hall - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Total Polling ,243,84,15,3,66,,,,,,,,,,,,,,,,,
Adv Vote ,486,6,2,1,3,,,,,,,,,,,,,,,,,
Total,243,90,17,4,69,,,,,,,,,,,,,,,,,
